Region,Year,Population,Project_Group,Cancer_pct,Infant_mortality_pct,Circulatory_pct,Disability_pct,Unemployment_pct,Registered_deaths,Mortality_pct,Imputed,Imputation_note,Data_note
East Kazakhstan+Abay,2011,1398078,Exposed-classified,0.2711,1.793,2.2403,3.9147,5.2,16676,1.1927803741994365,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2012,1395060,Exposed-classified,0.2762,1.619,2.6037,4.126,5.4,16285,1.1673333046607315,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2013,1394068,Exposed-classified,0.2856,1.347,2.7373,4.1723,5.2,15320,1.0989420889081452,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2014,1394388,Exposed-classified,0.2988,1.118,2.662,4.0967,4.8,14631,1.0492775325088857,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2015,1395466,Exposed-classified,0.3014,0.977,2.7673,4.0898,5.0,14669,1.051190068407256,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2016,1396019,Exposed-classified,0.2963,0.951,3.04,4.0888,4.9,14484,1.037521695621621,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2017,1389568,Exposed-classified,0.3063,0.728,3.2286,4.0807,4.8,14084,1.013552413411938,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2018,1383745,Exposed-classified,0.286,0.799,3.4163,4.1135,4.8,14043,1.0148546155541665,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2019,1378537,Exposed-classified,0.2966,0.947,3.4065,4.1017,4.8,14184,1.028916887976166,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2020,1369597,Exposed-classified,0.2558,0.794,3.2317,4.0088,4.9,16428,1.1994769264243423,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2021,1363797,Exposed-classified,0.2925,0.763,3.2892,4.021,4.8,18676,1.3694120165977781,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2022,1338941,Exposed-classified,0.3095,0.6355,3.5637,4.0366,4.8371,13932,1.0405238169568338,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2023,1340436,Exposed-classified,0.3238,0.707,3.7116,4.0388,4.691,13437,1.0024350286026338,No,,original row from research(2).xlsx
East Kazakhstan+Abay,2024,1340555,Exposed-classified,0.315,0.634,3.8245,4.0264,4.6906,13583,1.0132370548019292,No,,original row from research(2).xlsx
Pavlodar,2011,746224,Exposed-classified,0.2645,1.341,1.7343,3.5781,5.3,8186,1.0969896438602886,No,,original row from research(2).xlsx
Pavlodar,2012,747167,Exposed-classified,0.3015,0.909,1.7944,3.8936,5.2,8094,1.0832919548106381,No,,original row from research(2).xlsx
Pavlodar,2013,749201,Exposed-classified,0.3019,0.873,1.7655,3.9497,5.0,7588,1.012812316054036,No,,original row from research(2).xlsx
Pavlodar,2014,752914,Exposed-classified,0.3036,0.835,1.8058,3.7733,4.8,7548,1.0025049341624674,No,,original row from research(2).xlsx
Pavlodar,2015,755793,Exposed-classified,0.2972,0.695,2.1337,3.7434,4.9,7373,0.9755316601238699,No,,original row from research(2).xlsx
Pavlodar,2016,758594,Exposed-classified,0.3106,0.799,2.2816,3.6991,4.8,7353,0.9692931924059509,No,,original row from research(2).xlsx
Pavlodar,2017,757014,Exposed-classified,0.3168,0.767,2.5402,3.659,4.8,7250,0.9577101612387617,No,,original row from research(2).xlsx
Pavlodar,2018,754854,Exposed-classified,0.2969,0.555,2.7803,3.6981,4.8,7335,0.9717110858523635,No,,original row from research(2).xlsx
